N: 2048 || counter: 1039691 || Average MET: 0.000000
N: 1024 || counter: 262002 || Average MET: 0.000000
N: 2048 || counter: 1070070 || Average MET: 0.001563
N: 1024 || counter: 274874 || Average MET: 0.001563
N: 2048 || counter: 1049304 || Average MET: 0.003281
N: 4096 || counter: 4189067 || Average MET: 0.008141
N: 8192 || counter: 16760517 || Average MET: 0.049252
N: 1024 || counter: 259843 || Average MET: 0.000000
N: 2048 || counter: 1041849 || Average MET: 0.001563
N: 4096 || counter: 4205395 || Average MET: 0.014219
N: 8192 || counter: 16913386 || Average MET: 0.051422
N: 1024 || counter: 271890 || Average MET: 0.000000
N: 2048 || counter: 1054976 || Average MET: 0.004687
N: 4096 || counter: 4196518 || Average MET: 0.009844
N: 1024 || counter: 260634 || Average MET: 0.000000
N: 2048 || counter: 1030357 || Average MET: 0.004687
